Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
"setText(findTestObject(""Dashboard/Login/Login_InpEmail""), varUsername, 0)",,,2019-03-28 13:19:29,2019-03-28 13:19:31,2.067s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpPassword""), varPassword, 0)",,,2019-03-28 13:19:31,2019-03-28 13:19:32,1.053s,PASSED
"tap(findTestObject(""Dashboard/Login/Login_BtnMasuk""), 0)",,,2019-03-28 13:19:32,2019-03-28 13:19:34,1.284s,PASSED
switch (varExpectedResult.toString()),,,2019-03-28 13:19:34,2019-03-28 13:20:04,30.134s,PASSED
closeApplication(),,,2019-03-28 13:20:04,2019-03-28 13:20:06,2.288s,PASSED
,,,,,,
Test Cases/Dashboard/Login/Login,,,2019-03-28 13:20:06,2019-03-28 13:21:58,1m - 51.523s,PASSED
"startApplication(""C:\Users\IT-Services\Katalon Studio\ACCONE Mobile\accone tst env 24 maret 2019.apk"", false)",,,2019-03-28 13:20:06,2019-03-28 13:21:08,1m - 2.274s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-03-28 13:21:08,2019-03-28 13:21:21,12.625s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpEmail""), varUsername, 0)",,,2019-03-28 13:21:21,2019-03-28 13:21:22,1.099s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpPassword""), varPassword, 0)",,,2019-03-28 13:21:22,2019-03-28 13:21:24,1.702s,PASSED
"tap(findTestObject(""Dashboard/Login/Login_BtnMasuk""), 0)",,,2019-03-28 13:21:24,2019-03-28 13:21:25,1.442s,PASSED
switch (varExpectedResult.toString()),,,2019-03-28 13:21:25,2019-03-28 13:21:55,30.079s,PASSED
closeApplication(),,,2019-03-28 13:21:55,2019-03-28 13:21:58,2.259s,PASSED
,,,,,,
Test Cases/Dashboard/Login/Login,,,2019-03-28 13:21:58,2019-03-28 13:23:48,1m - 50.094s,PASSED
"startApplication(""C:\Users\IT-Services\Katalon Studio\ACCONE Mobile\accone tst env 24 maret 2019.apk"", false)",,,2019-03-28 13:21:58,2019-03-28 13:23:02,1m - 4.416s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-03-28 13:23:02,2019-03-28 13:23:09,6.803s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpEmail""), varUsername, 0)",,,2019-03-28 13:23:09,2019-03-28 13:23:11,2.494s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpPassword""), varPassword, 0)",,,2019-03-28 13:23:11,2019-03-28 13:23:12,1.050s,PASSED
"tap(findTestObject(""Dashboard/Login/Login_BtnMasuk""), 0)",,,2019-03-28 13:23:12,2019-03-28 13:23:15,2.567s,PASSED
switch (varExpectedResult.toString()),,,2019-03-28 13:23:15,2019-03-28 13:23:46,30.529s,PASSED
closeApplication(),,,2019-03-28 13:23:46,2019-03-28 13:23:48,2.212s,PASSED
,,,,,,
Test Cases/Dashboard/Login/Login,,,2019-03-28 13:23:48,2019-03-28 13:25:11,1m - 23.105s,PASSED
"startApplication(""C:\Users\IT-Services\Katalon Studio\ACCONE Mobile\accone tst env 24 maret 2019.apk"", false)",,,2019-03-28 13:23:48,2019-03-28 13:24:53,1m - 5.590s,PASSED
"tap(findTestObject(""Dashboard/Dashboard_MenuLogin""), 0)",,,2019-03-28 13:24:53,2019-03-28 13:25:02,8.930s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpEmail""), varUsername, 0)",,,2019-03-28 13:25:02,2019-03-28 13:25:03,1.056s,PASSED
"setText(findTestObject(""Dashboard/Login/Login_InpPassword""), varPassword, 0)",,,2019-03-28 13:25:03,2019-03-28 13:25:05,1.654s,PASSED
"tap(findTestObject(""Dashboard/Login/Login_BtnMasuk""), 0)",,,2019-03-28 13:25:05,2019-03-28 13:25:08,2.861s,PASSED
switch (varExpectedResult.toString()),,,2019-03-28 13:25:08,2019-03-28 13:25:09,0.678s,PASSED
